iso3,country,year,share_crude_oil,expgdp_crude_oil,share_copper_total,expgdp_copper_total
MAR,Morocco,2000,0,0,6.5945350412118e-05,1.16390435165149e-05
MAR,Morocco,2001,0,0,8.84295851197285e-05,1.47719231219558e-05
MAR,Morocco,2002,3.68251687736397e-09,6.30417186235261e-10,0.000107296837416501,1.83683531097548e-05
MAR,Morocco,2003,0,0,0.0001981964540637,3.07375666163812e-05
MAR,Morocco,2004,0,0,0.000211298387484656,3.23201224894619e-05
MAR,Morocco,2005,0,0,0.00199835110193923,0.000331658897106777
MAR,Morocco,2006,0,0,0.000766387162967331,0.000131348702129665
MAR,Morocco,2007,0,0,0.00117603681995572,0.000210644965477735
MAR,Morocco,2008,0,0,0.000692941452800624,0.000139088155515822
MAR,Morocco,2009,1.75190304520417e-07,2.44438155866116e-08,0.000624813497432252,8.71784882677675e-05
MAR,Morocco,2010,0,0,0.000124073453340634,2.18489011805989e-05
MAR,Morocco,2011,0,0,0.000245048459795596,4.83595369399754e-05
MAR,Morocco,2012,3.65281442591525e-06,7.35652828059617e-07,0.000335842605564998,6.7636494428511e-05
MAR,Morocco,2013,1.49962441405558e-05,2.84927513666874e-06,0.000317234534539438,6.02743235762231e-05
MAR,Morocco,2014,0,0,0.000260334229227782,5.20441530751861e-05
MAR,Morocco,2015,0,0,0.000147687208965956,2.98773674171754e-05
MAR,Morocco,2016,0,0,0.000119476355261287,2.44774721482796e-05
MAR,Morocco,2017,0,0,0.000232400062666299,5.02365293527134e-05
MAR,Morocco,2018,5.0101561971528e-08,1.15458414807485e-08,0.000636288290706311,0.000146631830455234
MAR,Morocco,2019,0,0,0.000143390119445506,3.29027593623953e-05
MAR,Morocco,2020,0,0,0.000751937077038008,0.000171652403299438
MAR,Morocco,2021,0,0,0.00198122331309089,0.000510368116122854
MAR,Morocco,2022,0,0,0.00124485579801271,0.000400109246935121
MAR,Morocco,2023,0,0,0.00101399519332056,0.000294796429209144
MAR,Morocco,2024,0,0,0.00168869076330773,0.000847141011058117
MEX,Mexico,2000,0.0895218211159517,0.020061655464982,0.00132474284826909,0.000296872139891465
MEX,Mexico,2001,0.0731808673251877,0.0145603516427885,0.00183216887575249,0.000364535486869626
MEX,Mexico,2002,0.0815480191360806,0.0161705167430236,0.000918991026984124,0.00018223078801874
MEX,Mexico,2003,0.102070547498762,0.0219869344170858,0.000533018954924424,0.00011481718372412
MEX,Mexico,2004,0.113085270931936,0.0259412847610436,0.000868157537227914,0.000199151681780297
MEX,Mexico,2005,0.132252669722566,0.0308744033612621,0.00126918283307751,0.00029629090142245
MEX,Mexico,2006,0.138850465962731,0.0340177681474911,0.00224780458776369,0.00055070247533729
MEX,Mexico,2007,0.139566651837031,0.0344146327819688,0.00283526062819581,0.000699124411714546
MEX,Mexico,2008,0.148804598279749,0.0373134440425878,0.00186487904329811,0.00046762708029681
MEX,Mexico,2009,0.111850819883851,0.0272339470097102,0.00190910561507074,0.000464837729493331
MEX,Mexico,2010,0.120371490054702,0.0324829444493697,0.00199309519869529,0.000537848294410109
MEX,Mexico,2011,0.14135939408128,0.0401790328897799,0.00376910671248791,0.00107130526096529
MEX,Mexico,2012,0.126386601790214,0.0373292817450263,0.00296023560207347,0.000874328981523532
MEX,Mexico,2013,0.112414099701967,0.0321760563010194,0.00165825146288536,0.000474637901940282
MEX,Mexico,2014,0.0897939287187339,0.0261180988766647,0.00201861340104224,0.000587148208731645
MEX,Mexico,2015,0.0484846632513562,0.0152074714026444,0.00191096514187607,0.000599384337184557
MEX,Mexico,2016,0.0416683401023822,0.0140096781555663,0.00212894495342578,0.000715791258666125
MEX,Mexico,2017,0.0489677397954467,0.0168361943469545,0.0020626057165416,0.000709169564490758
MEX,Mexico,2018,0.0588889436587065,0.0211257533025551,0.00195466724740736,0.000701215126164133
MEX,Mexico,2019,0.0485475477911083,0.017146750291004,0.00164828798359549,0.00058216704547023
MEX,Mexico,2020,0.0352141928248057,0.0130979832177438,0.00185849292811914,0.000691269832703724
MEX,Mexico,2021,0.0488017660223375,0.0183283660491778,0.00192720927410765,0.00072379751611955
MEX,Mexico,2022,0.0547404956073851,0.0215587368083794,0.0014562730896292,0.000573531677272681
MEX,Mexico,2023,0.0464537106411648,0.0153364993777519,0.000500575252486205,0.000165262837829572
MEX,Mexico,2024,0.0350696017066888,0.0116935250273922,0.000381518589182088,0.000127212655801712
NGA,Nigeria,2000,0.993553597230361,0.28170295239242,0,0
NGA,Nigeria,2001,0.982604243308078,0.172193331141969,0,0
