date,country,cds_spread,risk_free_rate,implied_V,implied_sigma_V,cca_converged,B_f,LCL_usd,sigma_lcl
2015-03-15,Egypt,316.25,0.0233999999999999,,,False,46.15901969999998,242.49752581623994,0.09951314106642752
2015-03-22,Egypt,318.5198,0.0233999999999999,,,False,46.15901969999998,242.40504716000868,0.09952162994274177
2015-03-29,Egypt,318.5498,0.0233999999999999,,,False,46.15901969999998,242.40504716000868,0.09949600471278311
2015-04-05,Egypt,321.0298,0.0241,,,False,46.30365405,255.71595117795903,0.10719912398573654
2015-04-12,Egypt,322.3098,0.0241,296.6655599296374,0.09236752789638233,True,46.30365405,255.61843155394538,0.10719987684813617
2015-04-19,Egypt,322.2998,0.0241,296.6655599296374,0.0923115425403992,True,46.30365405,255.61843155394538,0.10713490138107133
2015-04-26,Egypt,323.1199,0.0241,,,False,46.30365405,255.71595117795903,0.10711162542397624
2015-05-03,Egypt,323.1499,0.0233,,,False,46.13835765,255.31135143323334,0.10511465655611972
2015-05-10,Egypt,323.1399,0.0233,,,False,46.13835765,255.31135143323334,0.10489281211867761
2015-05-17,Egypt,323.1499,0.0233,296.47328083832264,0.08982708458414543,True,46.13835765,255.4087539047485,0.10426945070463377
2015-05-24,Egypt,315.7998,0.0233,,,False,46.13835765,255.31135143323334,0.10418299803774035
2015-05-31,Egypt,313.3198,0.0269,,,False,46.88219145,256.20544727213434,0.10370972534903697
2015-06-07,Egypt,313.3599,0.0269,297.18764989619444,0.08940923162385779,True,46.88219145,256.20544727213434,0.10371098549319868
2015-06-14,Egypt,313.3799,0.0269,297.18764989619444,0.08940923162385779,True,46.88219145,256.20544727213434,0.10371098549319868
2015-06-21,Egypt,313.25,0.0269,297.2853934694428,0.08940862953961651,True,46.88219145,256.3031908453827,0.10370483303223135
2015-06-28,Egypt,295.46,0.0269,297.3635883163935,0.08940803063631228,True,46.88219145,256.38138569233337,0.10369977813530044
2015-07-05,Egypt,313.2,0.0285,320.82670865257586,0.11067123460455405,True,47.21278425,279.8843697474905,0.12686056021181044
2015-07-12,Egypt,313.3398,0.0285,317.1499956857682,0.11132215681552766,True,47.21278425,276.20765678068284,0.12782347153326343
2015-07-19,Egypt,313.3398,0.0285,317.1499956857682,0.11132215681552766,True,47.21278425,276.20765678068284,0.12782347153326343
2015-07-26,Egypt,313.2,0.0285,317.1499956857682,0.11132215681552766,True,47.21278425,276.20765678068284,0.12782347153326343
2015-08-02,Egypt,313.1299,0.0277,299.62327298198636,0.12499039471512245,True,47.04748785,258.6607542464634,0.14478435766163444
2015-08-09,Egypt,320.6899,0.0277,299.62327298198636,0.12499039471512245,True,47.04748785,258.6607542464634,0.14478435766163444
2015-08-16,Egypt,320.73,0.0277,299.62327298198636,0.12499039471512245,True,47.04748785,258.6607542464634,0.14478435766163444
