model,country,horizon,group,alpha,beta,se_beta,t_stat,p_value,r2,n_obs,ci_lower,ci_upper
M1,Colombia,8,Exporter,0.9725936542947252,-12.064419508675417,5.881654042981071,-2.0511950244799944,0.04024795825138745,0.12019360766414477,514,-23.592249602442717,-0.5365894149081178
M1,Dubai,8,Control,-2.616640564870757,-4.513816964308764,2.7259230918206674,-1.6558856623111649,0.0977449756928877,0.1628736425753482,514,-9.856528048903343,0.8288941202858151
M1,Egypt,8,Exporter,4.205118912040827,1.3143024877958773,9.456429118632359,0.13898507262178464,0.8894619448791228,0.00027894206014855705,514,-17.21995800707939,19.848562982671147
M1,Indonesia,8,Control,-0.83103612587053,-5.028279186489306,3.9174582119261627,-1.2835565600116428,0.19929715746718746,0.05396808407070919,514,-12.706356192805263,2.6497978198266514
M1,Malaysia,8,Exporter,-0.9020955424684366,-3.946744411452063,1.6702598356628422,-2.362952354587272,0.018130000297154655,0.11926444618159404,514,-7.220393534175023,-0.6730952887291028
M1,Mexico,8,Exporter,-0.06225470828860069,-10.49134536827138,3.1265747161673954,-3.355539630644694,0.000792103064266891,0.3148162867364962,514,-16.619319206933017,-4.3633715296097435
M1,Philippines,8,Control,-0.48604152122601213,-1.123951543456806,1.2291836986633788,-0.9143885854319391,0.3605126975227365,0.013659363679915049,514,-3.5331073232207633,1.2852042363071512
M1,Qatar,8,Exporter,-0.2497343764612606,-3.8439595437610037,1.9617362408187804,-1.959468079234051,0.05005799461763394,0.1476120763903106,514,-7.688891922932807,0.0009728354108000659
M1,Saudi Arabia,8,Exporter,0.2091687364717914,-3.225736016143515,1.924584077908782,-1.6760691586145413,0.09372464696291856,0.07226071435517889,514,-6.997851494063957,0.5463794617769273
M1,South Africa,8,Control,0.5548778470578185,-19.33326871757528,7.517370279203581,-2.571812748277117,0.010116759353402827,0.20284000870782581,514,-34.06704372326611,-4.599493711884451
M1,South Korea,8,Control,-0.39615973022378964,-0.3314878419527731,0.3450415093281653,-0.9607187338074693,0.3366936091395374,0.00744064435646552,514,-1.007756773407318,0.34478108950177194
M1,Thailand,8,Control,-0.8769202395235561,-1.6524600761489299,0.8653526409507836,-1.9095799769367232,0.056187315224075385,0.07164808560258484,514,-3.3485200863390867,0.04359993404122675
M1,Turkey,8,Control,-1.3649386542126125,-30.63523635548176,11.399506144516975,-2.6874178553969146,0.007200681100768409,0.12764929005571768,514,-52.97785784027808,-8.29261487068544
M2,Abu Dhabi,1,Exporter,-0.04189374992655156,-0.4234921257940031,0.10418391395248146,-4.064851374149361,4.806307990963566e-05,0.03225066223253481,521,-0.6276888449092868,-0.21929540667871938
M2,Brazil,1,Exporter,0.08089179070196789,-11.163422530178046,3.844528760100847,-2.9037167431373865,0.003687616244434041,0.050179837246753345,521,-18.698560437504135,-3.6282846228519565
M2,Chile,1,Control,-0.06462068853823297,-2.0275501349930103,0.9605950149595575,-2.110723149108132,0.034796115048060045,0.019212138192382322,521,-3.9102817680424575,-0.14481850194356327
